
USD000UTSTOM,D,20150227,61.124,62.097,60.861,61.6,4334775000
USDRUB_SPT,D,20150227,,,,,
USDRUB_TOM1D,D,20150227,,,,,
USDRUB_TOM1M,D,20150227,0.76,0.76,0.76,0.76,1000000
USDRUB_TOM1W,D,20150227,0.1955,0.1955,0.1955,0.1955,35000000
USDRUB_TOM1Y,D,20150227,,,,,
USDRUB_TOM2M,D,20150227,,,,,
USDRUB_TOM2W,D,20150227,0.35,0.35,0.35,0.35,2000000
USDRUB_TOM3M,D,20150227,,,,,
USDRUB_TOM6M,D,20150227,,,,,
USDRUB_TOM9M,D,20150227,,,,,
BYRRUB_TOD,D,20150302,42.25,42.25,42.25,42.25,5000000
BYRRUB_TOM,D,20150302,41,41,41,41,1250000000
CNY000000TOD,D,20150302,9.86,9.9302,9.86,9.91,4730000
CNYRUBTODTOM,D,20150302,0.003209,0.003392,0.00305,0.00305,1900000
CNYRUB_TOM,D,20150302,9.8717,10.039,9.7606,9.88,438110000
CNYRUB_TOM1D,D,20150302,0.00305,0.0035,0.00305,0.0035,91500000
EUR000TODTOM,D,20150302,0.0295,0.0304,0.0295,0.0304,2190500000
EURRUB_SPT,D,20150302,,,,,
EURRUB_TOM1W,D,20150302,0.202,0.2085,0.202,0.2085,3000000
EURUSD000TOD,D,20150302,1.118,1.12315,1.1173,1.12275,2169000
EURUSD000TOM,D,20150302,1.1176,1.124,1.1168,1.118,20771000
EURUSDTODTOM,D,20150302,0.000006,0.000019,0.000006,0.000011,216900000
EUR_RUB__TOD,D,20150302,69.486,69.941,68.946,69.83,208335000
EUR_RUB__TOM,D,20150302,69.497,70.134,68.984,70,278092000
GBPRUB_TOM,D,20150302,95.98,95.98,95.66,95.9,78000
HKDRUB_TOM,D,20150302,7.997,8.017,7.997,8.017,1400000
KZT000000TOM,D,20150302,,,,,
UAH000000TOM,D,20150302,20.771,20.771,20.771,20.771,270000
USD000000TOD,D,20150302,62.002,62.5,61.71,62.26,1208233000
USD000TODTOM,D,20150302,0.027,0.0271,0.026,0.0271,7872000000
USD000UTSTOM,D,20150302,61.95,62.729,61.725,62.65,2638400000
USDRUB_SPT,D,20150302,61.84,62.19,61.84,62.15,10100000
USDRUB_TOM1D,D,20150302,,,,,
USDRUB_TOM1M,D,20150302,,,,,
USDRUB_TOM1W,D,20150302,0.1805,0.1814,0.1805,0.1814,5700000
USDRUB_TOM2M,D,20150302,,,,,
USDRUB_TOM2W,D,20150302,,,,,
USDRUB_TOM3M,D,20150302,2.24,2.25,2.24,2.25,15000000
USDRUB_TOM6M,D,20150302,,,,,
BYRRUB_TOD,D,20150303,42.2,42.2,42.2,42.2,4000000
BYRRUB_TOM,D,20150303,41,41,41,41,147000000
CNY000000TOD,D,20150303,9.94,9.945,9.9192,9.9324,14534000
CNYRUBTODTOM,D,20150303,0.003396,0.003457,0.00339,0.003391,32400000
CNYRUB_TOM,D,20150303,9.939,9.9467,9.8798,9.9262,144053000
CNYRUB_TOM1D,D,20150303,0.00325,0.0038,0.00325,0.0038,115700000
EUR000TODTOM,D,20150303,0.0298,0.0303,0.0297,0.0301,1699700000
EURRUB_SPT,D,20150303,69.522,69.522,69.522,69.522,500000
EURRUB_TOM1M,D,20150303,,,,,
EURRUB_TOM1W,D,20150303,0.2068,0.2068,0.2068,0.2068,2000000
EURRUB_TOM2W,D,20150303,,,,,
EURUSD000TOD,D,20150303,1.12015,1.121,1.1164,1.1164,1401000
EURUSD000TOM,D,20150303,1.121,1.1211,1.1156,1.1211,22788000
EURUSDTODTOM,D,20150303,0.000012,0.000014,0.000009,0.000012,157200000
EUR_RUB__TOD,D,20150303,69.637,70.047,69.319,69.35,189103000
EUR_RUB__TOM,D,20150303,69.886,70.05,69.064,69.23,197298000
GBPRUB_TOM,D,20150303,96,96.24,95.58,95.58,265000
HKDRUB_TOM,D,20150303,8.005,8.005,8.005,8.005,500000
KZT000000TOM,D,20150303,33.7,33.7,33.7,33.7,180000
UAH000000TOM,D,20150303,22.836,22.836,22.836,22.836,3220000
USD000000TOD,D,20150303,62.271,62.5,61.976,62.19,1086841000
USD000TODTOM,D,20150303,0.0261,0.0272,0.0255,0.0262,7624700000
USD000UTSTOM,D,20150303,62.38,62.5,61.65,61.929,2804924000
USDRUB_SPT,D,20150303,,,,,
USDRUB_TOM1M,D,20150303,0.81,0.81,0.81,0.81,5000000
USDRUB_TOM1W,D,20150303,0.183,0.184,0.182,0.182,12100000
USDRUB_TOM1Y,D,20150303,,,,,
USDRUB_TOM2M,D,20150303,,,,,
USDRUB_TOM2W,D,20150303,0.3535,0.3535,0.3535,0.3535,5000000
USDRUB_TOM3M,D,20150303,2.17,2.17,2.17,2.17,5000000
USDRUB_TOM6M,D,20150303,4,4,4,4,5000000
USDRUB_TOM9M,D,20150303,,,,,
BYRRUB_TOD,D,20150304,41.8,41.8,41.8,41.8,3000000
BYRRUB_TOM,D,20150304,,,,,
CNY000000TOD,D,20150304,9.865,9.8738,9.8566,9.86,4445000
CNYRUBTODTOM,D,20150304,0.002985,0.0032,0.00271,0.00271,2100000
CNYRUB_TOM,D,20150304,9.88,9.88,9.73,9.86,115363000
CNYRUB_TOM1D,D,20150304,0.00285,0.0038,0.0027,0.0038,115700000
EUR000TODTOM,D,20150304,0.0297,0.0301,0.029,0.0295,1554900000
EURRUB_SPT,D,20150304,68.792,68.792,68.792,68.792,100000
EURRUB_TOM1M,D,20150304,,,,,
EURRUB_TOM1W,D,20150304,,,,,
EURRUB_TOM2W,D,20150304,,,,,
EURUSD000TOD,D,20150304,1.117,1.1175,1.112,1.11285,3493000
EURUSD000TOM,D,20150304,1.11685,1.1176,1.1064,1.10735,70991000
EURUSDTODTOM,D,20150304,0.000011,0.000011,0.000002,-0.000003,146600000
EUR_RUB__TOD,D,20150304,69.2,69.228,68.621,68.75,189558000
EUR_RUB__TOM,D,20150304,69.209,69.25,68.541,68.684,184987000
GBPRUB_TOM,D,20150304,95.08,95.18,94.7,94.7,451000
HKDRUB_TOM,D,20150304,,,,,
KZT000000TOM,D,20150304,33.7,33.7,33.7,33.7,270000
UAH000000TOM,D,20150304,23.535,23.535,23.535,23.535,1640000
USD000000TOD,D,20150304,61.952,61.977,61.52,61.8,920969000
USD000TODTOM,D,20150304,0.026,0.0272,0.026,0.0272,7612800000
USD000UTSTOM,D,20150304,61.986,62.34,61.538,61.945,2846953000
USDRUB_SPT,D,20150304,61.775,61.838,61.775,61.82,1050000
USDRUB_TOM1D,D,20150304,,,,,
USDRUB_TOM1M,D,20150304,0.783,0.783,0.7829,0.7829,10000000
USDRUB_TOM1W,D,20150304,0.18,0.18,0.178,0.178,29000000
USDRUB_TOM1Y,D,20150304,,,,,
USDRUB_TOM2M,D,20150304,,,,,
USDRUB_TOM2W,D,20150304,0.354,0.354,0.354,0.354,5000000
USDRUB_TOM3M,D,20150304,2.145,2.145,2.145,2.145,7000000
USDRUB_TOM6M,D,20150304,4,4,3.95,3.95,4000000
USDRUB_TOM9M,D,20150304,,,,,
BYRRUB_TOD,D,20150305,41.5,41.5,41.5,41.5,3000000
BYRRUB_TOM,D,20150305,,,,,
CNY000000TOD,D,20150305,9.8716,9.8716,9.848,9.8493,3337000
CNYRUBTODTOM,D,20150305,0.003001,0.003231,0.00283,0.00283,2600000
CNYRUB_TOM,D,20150305,9.88,9.88,9.68,9.68,127716000
CNYRUB_TOM1D,D,20150305,0.0124,0.0151,0.01239,0.0151,120700000
